"id";"brand_name";"Title";"Rating";"rating_count";"reviews";"Current Price";"Original Price";"Discount";"Processor";"ram_capacity";"Operating System";"StorageCapacity";"Screen Size"
486;"Lenovo";"Lenovo Yoga Slim 7 AI PC WUXGA OLED Intel Core Ultra 7 155H - (32 GB/1 TB SSD/Windows 11 Home) 14IMH9 ...";4.0;5;52;107990;146890;"26";"Intel Core Ultra 7 Processor";0;"Windows 11";"1024 ";"35.56 cm (14 inch)"
487;"CHUWI";"CHUWI Intel Core i3 12th Gen Intel Core i3-1215U - (12 GB/512 GB SSD/Windows 11 Home) FreeBook 2 in 1 ...";4.1;131;13134;37990;49990;"24";"Display: 13.5"" Ultra HD 2K 3:2 touchscreen display""";0;"Windows 11";"Unknown";"Unknown"
488;"DELL";"DELL Dell Vostro 3510 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3510 La...";4.0;33;334;36990;43074;"14";"Intel Core i3 Processor (11th Gen)";8;"Windows 11";"512";"39.62 cm (15.6 inch)"
489;"SAMSUNG";"SAMSUNG Galaxy Book3 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Th...";4.3;923;923124;69990;99990;"30";"Intel Core i5 Processor (13th Gen)";0;"Windows 11";"512";"39.62 cm (15.6 Inch)"
490;"Infinix";"Infinix Intel Core i7 1255U - (32 GB/512 GB SSD/Windows 11 Home) XL422 Thin and Light Laptop";0.0;0;0;49990;79990;"37";"Intel Core i7 Processor";0;"Windows 11";"512";"35.56 cm (14 inch)"
491;"HP";"HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...";4.2;34;340;58990;82671;"28";"AMD Ryzen 5 Hexa Core Processor";8;"Windows 11";"512";"39.62 cm (15.6 inch)"
492;"Infinix";"Infinix Zero Book Ultra AI PC Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) ZL514 Thin ...";3.8;4;42;59990;79990;"25";"Intel Core Ultra 5 Processor";0;"Windows 11";"512";"39.62 cm (15.6 Inch)"
493;"MSI";"MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...";3.9;7;71;51990;86990;"40";"Intel Core i5 Processor (12th Gen)";8;"Windows 11";"512";"39.62 cm (15.6 Inch)"
494;"ZEBRONICS";"ZEBRONICS Thin and Light Laptop Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) ZEB-...";3.9;217;21717;40990;78999;"48";"Intel Core i7 Processor (12th Gen)";16;"Windows 11";"512";"39.62 cm (15.6 Inch)"
495;"ASUS";"ASUS AMD Ryzen 7 Octa Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce R...";0.0;0;0;75990;99990;"24";"AMD Ryzen 7 Octa Core Processor (10th Gen)";16;"Windows 11";"512";"39.62 cm (15.6 inch)"
496;"DELL";"DELL Inspiron Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin and ...";4.1;147;1474;53490;66472;"19";"Intel Core i5 Processor (13th Gen)";8;"Windows 11";"512";"39.62 cm (15.6 inch)"
497;"MSI";"MSI GF63 Intel Core i5 12th Gen 12450H - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVID...";4.5;44;445;57990;86990;"33";"Intel Core i5 Processor (12th Gen)";16;"Windows 11";"1024 ";"39.62 cm (15.6 Inch)"
498;"Acer";"Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) A325-45 Thin and Light...";0.0;0;0;21990;29990;"26";"Intel Celeron Dual Core Processor";0;"Windows 11";"256";"39.62 cm (15.6 Inch)"
499;"Apple";"Apple 2023 MacBook Pro Apple M3 Pro - (18 GB/1 TB SSD/macOS Sonoma) MRX73HN/A";0.0;0;0;225690;239900;"5";"Apple M3 Pro Processor";1;"macOS";"1024 ";"35.56 cm (14 Inch)"
500;"Lenovo";"Lenovo IdeaPad Gaming 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...";4.4;486;48658;67990;94690;"28";"Intel Core i5 Processor (12th Gen)";16;"Windows 11";"512";"39.62 cm (15.6 inch)"
501;"HP";"HP AMD Ryzen 5 Hexa Core - (16 GB/512 GB SSD/Windows 11 Home) 15S-EQ2305AU Laptop";2.0;4;40;41990;52055;"19";"AMD Ryzen 5 Hexa Core Processor";16;"Windows 11";"512";"39.62 cm (15.6 inch)"
502;"Lenovo";"Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) 14IGL7 Thin and Lig...";0.0;0;0;25990;37690;"31";"Intel Celeron Dual Core Processor";8;"Windows 11";"512";"35.56 cm (14 Inch)"
